41,47,57,59,48,48,57,70,64,63,73,73,50,36,58,70,78,118,77,40,45,39,38,38,48,55,79,95,58,45,44,49
64,75,60,42,48,45,43,72,45,36,41,38,47,45,53,76,82,93,75,37,34,34,39,51,73,70,57,67,69,45,34,39
59,72,66,40,46,60,58,68,63,48,36,34,43,48,48,74,74,79,59,41,32,30,45,55,82,70,39,34,54,50,56,82
53,46,54,65,59,57,63,48,52,53,49,53,30,21,34,59,67,58,64,65,45,57,67,63,44,50,34,21,25,36,49,66
38,55,59,67,59,60,49,44,27,28,47,68,85,35,55,59,60,69,70,45,31,45,59,49,32,22,33,41,49,59,41,45
65,51,46,41,65,76,75,75,48,57,49,62,116,71,97,44,34,51,35,23,24,18,20,44,59,43,50,84,78,66,49,36
49,28,28,30,54,70,66,41,66,71,39,48,50,46,92,116,129,111,81,38,24,34,38,67,77,55,52,62,57,41,46,48
32,26,32,53,63,34,26,13,48,34,21,55,60,78,157,227,237,227,209,106,28,42,47,41,31,35,34,19,20,16,20,29
32,36,43,77,64,21,26,18,20,17,16,42,81,122,178,233,240,229,238,197,73,33,27,20,24,30,43,26,10,15,25,27
35,42,49,56,40,34,18,34,30,19,14,16,58,82,124,234,244,214,182,204,125,38,32,37,53,54,54,29,23,13,25,51
79,78,79,71,67,62,49,64,61,49,38,22,66,151,170,211,242,197,88,151,152,46,72,71,66,67,61,50,64,58,45,54
89,92,97,90,85,83,79,76,86,88,86,40,111,195,90,96,193,212,139,157,155,41,77,95,84,86,83,74,95,99,73,60
66,71,78,80,84,86,73,65,81,83,69,28,153,154,12,14,123,228,227,217,146,26,56,93,93,91,85,69,84,76,75,83
58,59,59,64,64,65,66,66,63,61,39,23,147,161,33,39,145,218,223,221,170,30,40,70,79,84,82,70,72,73,74,80
49,50,55,52,53,56,58,56,57,42,22,25,132,148,52,90,187,217,215,208,179,44,47,107,82,71,75,64,64,65,66,65
43,47,51,49,53,53,50,50,54,30,13,35,128,102,53,107,193,210,196,186,114,20,50,189,193,123,72,45,50,54,56,51
46,49,49,51,56,55,52,53,50,25,8,40,102,79,92,93,147,192,183,164,73,14,32,180,252,229,154,53,46,55,55,49
52,50,47,56,52,55,50,53,50,30,12,25,80,95,99,93,107,168,170,122,44,19,22,123,249,247,233,139,48,41,45,47
47,47,50,53,53,56,46,48,49,38,24,15,40,72,90,96,95,130,131,82,26,18,16,93,243,243,240,227,104,32,51,67
40,43,57,63,54,52,52,46,47,51,84,38,14,34,83,109,105,118,122,93,25,18,18,92,242,233,230,241,199,124,122,142
46,43,51,61,50,45,47,46,44,55,147,125,61,18,59,103,124,144,136,95,19,16,22,123,245,214,198,208,223,199,179,170
50,45,54,54,51,48,45,46,40,68,182,197,136,47,31,77,117,122,97,77,16,25,86,195,228,159,148,164,160,171,171,168
48,43,53,49,52,50,46,43,29,90,205,212,180,119,61,50,46,93,111,82,38,129,211,226,179,97,89,115,91,141,108,92
47,40,44,44,52,47,42,39,27,106,209,208,190,160,130,67,56,136,162,135,130,201,225,203,111,52,46,63,57,82,64,50
47,43,44,44,48,43,40,36,25,95,200,204,196,185,164,148,154,180,181,185,193,209,217,165,56,40,44,46,42,48,46,51
44,42,38,41,48,46,42,37,25,53,168,205,199,198,186,176,178,181,187,204,210,220,227,157,44,41,47,49,50,49,45,55
41,43,41,46,49,42,41,43,27,30,133,208,210,208,201,186,174,165,168,193,189,212,231,205,78,36,49,51,56,51,45,52
53,49,46,54,49,41,43,43,32,35,136,207,212,210,204,198,183,151,102,109,147,198,229,227,132,40,46,41,52,53,45,47
57,57,52,50,52,46,46,44,37,38,123,199,203,200,190,186,159,86,43,41,91,178,229,233,166,53,40,40,46,50,46,47
48,53,53,49,49,51,50,43,37,33,80,190,201,189,166,161,132,45,30,32,55,165,228,234,172,56,39,43,44,48,46,47
44,48,50,47,51,49,44,42,42,36,72,194,213,198,173,110,61,39,38,38,47,170,226,222,170,51,44,43,40,40,43,46
43,41,45,42,48,44,46,44,44,39,68,175,206,210,196,91,27,37,44,38,53,178,229,224,175,54,40,42,36,37,40,49
